,locationId,id,location,_score,fullName,locationName,label
lat,622,53388,42.66174,318345.0,"Отель Италия, Несебр, Болгария","Несебр, Болгария",Отель Италия
lon,622,53388,27.71902,318345.0,"Отель Италия, Несебр, Болгария","Несебр, Болгария",Отель Италия
,locationId,id,location,_score,fullName,locationName,label
lat,12224,713701,51.67748,140800.0,"Отель Италия, Воронеж, Россия","Воронеж, Россия",Отель Италия
lon,12224,713701,39.21846,140800.0,"Отель Италия, Воронеж, Россия","Воронеж, Россия",Отель Италия
,location,locationName,_score,fullName,locationId,id,label
lat,59.92452,"Санкт-Петербург, Россия",490501.0,"Отель Москва, Санкт-Петербург, Россия",12196,714387,Отель Москва
lon,30.3866,"Санкт-Петербург, Россия",490501.0,"Отель Москва, Санкт-Петербург, Россия",12196,714387,Отель Москва
,location,locationName,_score,fullName,locationId,id,label
lat,55.7531,"Москва, Россия",442188.0,"Марриотт Москва Новый Арбат, Москва, Россия",12153,29844226,Марриотт Москва Новый Арбат
lon,37.58072,"Москва, Россия",442188.0,"Марриотт Москва Новый Арбат, Москва, Россия",12153,29844226,Марриотт Москва Новый Арбат
,fullName,location,id,label,_score,locationId,locationName
lat,"Отель Москва, Санкт-Петербург, Россия",59.92452,714387,Отель Москва,490501.0,12196,"Санкт-Петербург, Россия"
lon,"Отель Москва, Санкт-Петербург, Россия",30.3866,714387,Отель Москва,490501.0,12196,"Санкт-Петербург, Россия"
,fullName,location,id,label,_score,locationId,locationName
lat,"Марриотт Москва Новый Арбат, Москва, Россия",55.7531,29844226,Марриотт Москва Новый Арбат,442188.0,12153,"Москва, Россия"
lon,"Марриотт Москва Новый Арбат, Москва, Россия",37.58072,29844226,Марриотт Москва Новый Арбат,442188.0,12153,"Москва, Россия"
